age,height,haircolor,hair,eyecolor,gender,beard,body,worth
43,170,black,middle,grey,male,middle,normal,59
31,189,blonde,long,blue,male,small,normal,47
44,177,red,short,grey,male,small,normal,46
66,213,grey,short,brown,male,none,normal,25
40,185,blonde,short,brown,male,middle,chubby,56
18,143,grey,middle,brown,male,small,normal,48
60,163,red,short,grey,male,large,normal,26
33,158,grey,long,brown,male,large,normal,42
52,141,brown,short,blue,male,large,chubby,47
14,207,blonde,middle,blue,male,small,normal,60
21,168,brown,middle,blue,male,middle,chubby,70
59,208,black,middle,grey,male,small,muscle,41
24,207,black,middle,blue,male,middle,muscle,64
47,142,grey,short,grey,male,small,normal,39
52,213,blonde,long,brown,male,none,chubby,33
