,age,height,haircolor,hairlength,eyecolor,gender,boobsize,figure,worth
0,21,153,red,middle,grey,female,d,thin,34
1,49,170,black,long,brown,female,c,thin,27
2,48,161,brown,long,blue,female,c,normal,40
3,54,183,blonde,short,grey,female,d,chubby,17
4,35,193,brown,short,blue,female,d,chubby,30
5,49,155,black,short,green,female,d,normal,29
6,60,220,grey,long,grey,female,d,sporty,13
7,20,210,blonde,middle,blue,female,d,normal,46
8,26,181,blonde,middle,brown,female,c,chubby,37
9,58,198,red,short,green,female,a,thin,12
10,70,158,black,long,brown,female,a,normal,14
11,65,208,brown,short,brown,female,d,fat,10
12,42,171,blonde,long,blue,female,b,sporty,50
13,15,218,brown,short,grey,female,d,fat,24
14,61,210,red,long,green,female,b,sporty,17
15,44,199,black,middle,brown,female,c,sporty,24
16,63,204,red,long,grey,female,b,normal,14
17,66,184,blonde,middle,brown,female,a,sporty,21
18,70,171,brown,middle,grey,female,c,sporty,25
19,61,156,red,middle,blue,female,c,sporty,20
20,16,172,black,middle,blue,female,b,chubby,40
21,58,218,black,short,green,female,d,normal,14
22,65,161,black,long,grey,female,a,thin,14
23,35,174,black,short,blue,female,a,chubby,35
24,17,140,red,middle,brown,female,c,thin,24
25,38,209,brown,long,grey,female,c,thin,25
26,60,167,red,middle,green,female,c,normal,22
27,48,175,brown,short,brown,female,a,normal,39
28,55,207,brown,middle,blue,female,d,sporty,20
29,25,220,blonde,short,brown,female,a,sporty,40
30,35,148,grey,short,blue,female,c,thin,22
31,46,174,blonde,long,brown,female,d,chubby,35
32,18,169,grey,long,green,female,c,fat,35
33,45,201,blonde,long,brown,female,d,chubby,24
34,66,197,grey,middle,brown,female,c,sporty,12
35,53,218,blonde,middle,green,female,b,chubby,16
36,65,183,blonde,middle,blue,female,c,normal,23
37,36,211,black,short,grey,female,d,normal,25
38,16,219,grey,long,green,female,d,normal,30
39,21,211,red,long,green,female,d,normal,38
40,16,176,grey,long,grey,female,a,fat,28
41,60,182,red,long,brown,female,b,chubby,13
42,16,218,brown,short,green,female,c,fat,28
43,32,178,brown,long,green,female,d,fat,33
44,57,149,red,short,brown,female,a,sporty,15
45,30,161,grey,middle,green,female,a,sporty,38
46,44,204,black,long,grey,female,c,sporty,26
47,16,215,black,short,green,female,d,normal,32
48,56,142,grey,short,blue,female,b,sporty,16
49,52,163,black,middle,grey,female,d,fat,11
50,17,192,blonde,middle,blue,female,c,sporty,45
51,42,201,grey,short,brown,female,c,thin,14
52,55,220,grey,middle,green,female,d,fat,7
53,20,185,brown,short,brown,female,d,thin,37
54,32,149,black,short,blue,female,d,sporty,32
55,39,166,brown,short,blue,female,d,sporty,48
56,41,176,black,short,brown,female,b,normal,32
57,60,205,blonde,short,blue,female,b,fat,14
58,61,185,red,middle,blue,female,d,thin,16
59,32,207,brown,short,green,female,b,thin,27
60,26,200,red,long,blue,female,d,thin,32
61,58,165,black,short,green,female,d,thin,17
62,19,159,red,middle,grey,female,b,chubby,34
63,44,153,brown,middle,brown,female,d,thin,26
64,62,148,grey,short,blue,female,c,chubby,11
65,16,211,grey,long,grey,female,a,chubby,22
66,62,200,grey,middle,grey,female,d,thin,8
67,20,140,brown,short,blue,female,a,chubby,38
68,64,160,brown,short,blue,female,b,normal,23
69,66,143,blonde,middle,grey,female,b,fat,12
70,47,176,grey,long,green,female,d,normal,33
71,47,141,grey,short,green,female,c,sporty,25
72,19,208,red,long,grey,female,d,normal,36
73,42,217,red,short,green,female,c,thin,22
74,36,172,red,short,blue,female,b,thin,37
75,35,163,red,short,brown,female,a,normal,32
76,50,150,blonde,long,blue,female,c,thin,20
77,46,182,red,middle,brown,female,a,chubby,22
78,55,211,red,long,blue,female,b,sporty,18
79,29,152,grey,middle,blue,female,d,fat,25
80,46,144,black,short,green,female,a,sporty,27
81,66,195,grey,short,brown,female,c,sporty,13
82,48,153,grey,middle,grey,female,c,chubby,19
83,34,179,blonde,long,grey,female,a,thin,37
84,32,212,brown,short,green,female,a,chubby,27
85,49,180,red,long,blue,female,b,normal,39
86,17,174,red,middle,blue,female,a,normal,48
87,50,161,blonde,short,grey,female,a,sporty,24
88,69,141,grey,short,brown,female,b,fat,5
89,70,193,grey,middle,grey,female,d,thin,9
90,55,158,grey,middle,brown,female,b,thin,10
91,22,219,grey,short,blue,female,a,normal,36
92,20,218,brown,long,green,female,c,chubby,36
93,23,169,black,long,blue,female,b,normal,47
94,44,179,brown,short,brown,female,c,sporty,40
95,50,220,red,short,brown,female,c,thin,10
96,48,196,blonde,short,blue,female,d,thin,29
97,61,211,red,short,grey,female,c,fat,8
98,68,144,black,long,green,female,a,chubby,11
99,54,207,blonde,long,grey,female,a,chubby,14
100,69,173,red,middle,grey,female,b,fat,16
101,24,207,brown,short,green,female,d,sporty,42
102,20,206,black,short,green,female,a,fat,26
103,24,160,black,long,green,female,c,normal,41
104,54,157,grey,long,green,female,a,chubby,12
105,25,182,red,middle,green,female,d,normal,41
106,63,188,grey,short,brown,female,c,sporty,14
107,21,195,blonde,short,blue,female,a,fat,37
108,52,207,brown,short,blue,female,b,sporty,20
109,24,170,red,short,grey,female,d,sporty,48
110,31,175,brown,short,brown,female,a,thin,35
111,23,181,black,long,grey,female,c,thin,31
112,44,213,brown,long,blue,female,a,sporty,36
113,44,147,blonde,short,blue,female,d,normal,37
114,54,186,brown,short,grey,female,a,normal,19
115,56,172,red,long,green,female,a,thin,19
116,43,201,blonde,short,blue,female,d,normal,36
117,26,185,black,middle,blue,female,c,thin,35
118,38,204,black,middle,grey,female,d,normal,25
119,69,169,red,short,grey,female,b,thin,17
120,16,177,red,long,brown,female,c,normal,40
121,37,149,black,short,green,female,b,chubby,22
122,67,142,black,short,blue,female,b,chubby,12
123,27,174,red,long,green,female,b,fat,38
124,46,170,grey,middle,grey,female,a,sporty,35
125,38,217,blonde,short,brown,female,d,normal,31
126,22,206,grey,middle,grey,female,a,chubby,26
127,16,147,blonde,long,blue,female,b,normal,43
128,63,140,brown,middle,brown,female,a,chubby,12
129,30,153,red,long,grey,female,c,sporty,37
130,33,201,black,short,green,female,b,chubby,21
131,70,181,blonde,middle,grey,female,a,thin,17
132,61,185,blonde,long,green,female,a,fat,16
133,22,181,red,middle,brown,female,a,sporty,41
134,27,148,red,middle,brown,female,a,normal,33
135,59,189,red,short,green,female,a,chubby,14
136,20,210,blonde,short,brown,female,b,fat,30
137,33,151,red,long,blue,female,b,thin,29
138,62,161,black,long,blue,female,a,sporty,21
139,48,180,brown,middle,grey,female,b,normal,39
140,65,167,red,long,blue,female,b,normal,23
141,28,167,blonde,middle,brown,female,d,normal,46
142,32,184,grey,long,grey,female,a,normal,28
143,33,164,blonde,long,green,female,d,fat,32
144,51,213,black,short,brown,female,a,normal,12
145,35,171,black,middle,brown,female,a,normal,35
146,40,169,black,short,green,female,b,thin,32
147,54,215,black,middle,green,female,c,chubby,11
148,20,144,brown,short,grey,female,d,sporty,42
149,44,143,brown,middle,blue,female,b,fat,24
150,52,166,red,short,green,female,d,normal,22
151,55,140,black,short,brown,female,b,chubby,8
152,68,149,brown,short,brown,female,c,sporty,17
153,35,176,brown,middle,grey,female,a,fat,31
154,25,220,black,short,brown,female,a,sporty,32
155,35,210,blonde,middle,brown,female,a,sporty,33
156,70,155,black,middle,blue,female,c,normal,18
157,45,142,black,short,grey,female,c,normal,24
158,54,199,black,long,brown,female,b,thin,8
159,24,208,brown,middle,green,female,c,normal,40
160,39,146,grey,middle,green,female,c,thin,20
161,46,212,brown,middle,green,female,b,chubby,25
162,65,173,blonde,long,brown,female,b,fat,18
163,35,173,black,short,grey,female,b,normal,37
164,65,210,black,short,grey,female,d,chubby,10
165,52,209,blonde,short,blue,female,d,fat,14
166,68,174,red,middle,brown,female,d,normal,20
167,53,159,blonde,middle,blue,female,c,thin,19
168,42,171,black,short,green,female,c,sporty,40
169,22,151,grey,short,grey,female,b,normal,36
170,37,195,blonde,middle,green,female,a,thin,30
