age,height,haircolor,hair,eyecolor,gender,boobs,figure,worth
53,151,brown,short,grey,female,b,thin,23
56,140,red,long,green,female,c,chubby,26
58,194,red,long,brown,female,b,chubby,22
60,215,black,long,blue,female,c,fat,24
35,148,red,short,brown,female,d,fat,30
56,152,black,middle,green,female,a,thin,19
56,214,red,long,blue,female,c,normal,31
37,202,grey,short,grey,female,d,normal,37
29,195,brown,short,brown,female,b,fat,36
63,215,red,long,grey,female,d,normal,28
58,159,blonde,long,grey,female,d,chubby,30
14,200,red,short,green,female,a,chubby,30
54,207,grey,middle,grey,female,c,thin,20
23,213,brown,short,brown,female,d,chubby,44
67,220,brown,long,blue,female,c,thin,30
53,142,brown,middle,grey,female,d,normal,28
31,188,red,long,blue,female,a,fat,38
62,208,black,short,blue,female,a,fat,13
19,183,grey,short,grey,female,a,chubby,37
30,169,red,middle,grey,female,a,normal,52
24,194,blonde,long,blue,female,a,chubby,63
42,150,red,middle,green,female,c,normal,52
53,216,black,short,green,female,d,chubby,19
61,187,grey,middle,green,female,c,sporty,28
46,197,grey,short,grey,female,b,thin,27
39,187,grey,short,grey,female,a,thin,26
29,180,black,short,brown,female,d,chubby,45
60,184,grey,short,blue,female,b,normal,25
36,195,red,middle,brown,female,d,normal,44
27,155,brown,short,green,female,d,chubby,52
36,141,brown,long,blue,female,c,sporty,61
60,141,red,middle,green,female,a,sporty,23
25,186,brown,short,blue,female,b,sporty,59
18,182,blonde,short,green,female,b,sporty,63
18,163,blonde,middle,brown,female,b,sporty,65
25,164,grey,long,green,female,a,normal,53
46,204,blonde,short,green,female,b,normal,45
40,189,brown,long,green,female,a,normal,50
66,141,brown,long,brown,female,b,sporty,29
62,143,blonde,middle,grey,female,a,normal,24
36,187,red,short,green,female,b,sporty,46
50,172,blonde,short,blue,female,c,sporty,39
63,216,brown,long,green,female,d,thin,28
29,183,blonde,middle,blue,female,a,thin,50
38,159,brown,short,brown,female,a,fat,29
14,201,red,long,green,female,d,normal,52
41,209,blonde,middle,brown,female,a,sporty,42
62,186,grey,long,blue,female,a,fat,19
47,178,brown,long,brown,female,b,thin,51
21,162,red,long,brown,female,c,sporty,67
