,age,height,haircolor,hairlength,eyecolor,gender,boobsize,figure,worth
0,66,163,grey,long,blue,female,b,thin,15
1,65,199,red,short,green,female,c,chubby,12
2,38,219,red,long,brown,female,c,fat,15
3,50,174,grey,middle,grey,female,c,fat,14
4,58,145,black,short,grey,female,c,chubby,10
5,66,189,brown,middle,blue,female,d,thin,17
6,48,164,brown,middle,green,female,c,fat,28
7,50,202,red,middle,blue,female,a,fat,11
8,26,181,red,short,green,female,a,chubby,35
9,49,197,blonde,short,brown,female,a,fat,19
10,31,149,red,long,grey,female,c,fat,18
11,24,184,blonde,short,brown,female,b,fat,33
12,28,199,black,long,grey,female,d,fat,19
13,56,180,red,middle,grey,female,c,fat,14
14,66,193,brown,middle,blue,female,b,sporty,21
15,22,187,blonde,long,blue,female,d,normal,49
16,18,154,grey,middle,brown,female,a,chubby,28
17,53,186,blonde,long,green,female,a,thin,17
18,49,174,brown,short,green,female,a,thin,37
19,39,144,grey,short,blue,female,a,sporty,29
20,27,199,brown,long,brown,female,b,chubby,30
21,30,174,blonde,middle,green,female,c,sporty,53
22,30,219,black,middle,blue,female,d,chubby,27
23,43,199,blonde,short,green,female,b,normal,34
24,42,174,red,long,grey,female,b,fat,28
25,45,175,black,middle,blue,female,b,normal,40
26,51,202,blonde,short,blue,female,b,thin,17
27,63,152,grey,long,green,female,a,fat,10
28,31,200,brown,long,grey,female,a,normal,31
29,66,191,red,middle,brown,female,c,chubby,11
30,36,164,brown,long,green,female,b,fat,30
31,30,147,red,short,brown,female,c,chubby,24
32,68,168,brown,short,brown,female,d,chubby,19
33,43,192,black,long,green,female,a,thin,21
34,28,198,black,middle,grey,female,b,sporty,31
35,42,164,red,short,blue,female,d,normal,37
36,31,191,red,long,grey,female,b,normal,30
37,54,191,brown,long,green,female,c,chubby,16
38,58,188,grey,middle,blue,female,a,fat,10
39,58,179,brown,middle,blue,female,c,sporty,26
40,28,145,black,short,green,female,a,sporty,34
41,31,167,blonde,short,blue,female,c,fat,38
42,61,206,red,short,blue,female,b,fat,11
43,37,205,brown,middle,blue,female,d,sporty,37
44,19,172,grey,middle,brown,female,c,sporty,44
45,69,216,red,middle,brown,female,a,chubby,10
46,49,213,black,short,brown,female,d,sporty,23
47,39,148,blonde,long,grey,female,c,thin,28
48,20,188,grey,long,brown,female,c,thin,27
49,53,152,blonde,long,blue,female,d,chubby,19
50,26,178,black,long,brown,female,a,normal,40
51,56,143,grey,short,green,female,c,fat,7
52,58,180,red,short,grey,female,c,chubby,17
53,19,166,grey,short,brown,female,a,fat,31
54,18,168,red,short,green,female,b,sporty,51
55,51,173,black,short,blue,female,b,normal,23
56,68,157,brown,long,brown,female,a,chubby,14
57,52,171,black,middle,green,female,b,sporty,23
58,59,150,brown,middle,grey,female,c,sporty,20
59,54,140,blonde,middle,grey,female,d,sporty,19
60,40,197,brown,long,grey,female,d,chubby,25
61,60,205,blonde,short,green,female,c,sporty,20
62,34,211,red,long,grey,female,d,sporty,29
63,16,151,blonde,middle,grey,female,a,chubby,36
64,53,164,blonde,long,green,female,c,normal,23
65,66,200,red,short,brown,female,a,thin,10
66,53,158,black,short,grey,female,b,normal,16
67,45,164,black,long,grey,female,b,normal,31
68,45,202,brown,short,blue,female,b,chubby,28
69,30,211,blonde,short,green,female,b,normal,39
70,57,198,red,long,blue,female,c,sporty,18
71,42,186,red,long,green,female,c,chubby,25
72,64,209,blonde,middle,blue,female,b,fat,14
73,54,218,blonde,long,green,female,c,thin,16
74,59,203,red,long,brown,female,b,thin,10
75,41,145,black,long,green,female,d,sporty,29
76,59,197,grey,long,brown,female,d,thin,7
77,31,165,red,middle,green,female,d,thin,34
78,29,140,black,long,green,female,d,sporty,33
79,24,156,brown,middle,blue,female,a,thin,40
80,23,163,red,long,green,female,a,thin,37
81,46,200,red,middle,grey,female,b,sporty,27
82,26,178,grey,middle,brown,female,b,chubby,32
83,43,150,red,short,brown,female,d,normal,28
84,47,145,blonde,middle,green,female,d,sporty,36
85,16,148,grey,middle,green,female,a,normal,31
86,37,173,blonde,short,brown,female,d,fat,33
87,46,212,red,short,blue,female,b,chubby,23
88,27,206,grey,middle,green,female,c,sporty,34
89,20,177,black,short,green,female,b,chubby,40
90,30,203,blonde,short,grey,female,b,sporty,39
91,65,140,grey,short,brown,female,c,fat,5
92,45,196,brown,short,blue,female,b,fat,24
93,25,155,blonde,middle,grey,female,d,fat,34
94,53,216,brown,long,brown,female,a,chubby,12
95,56,190,red,middle,blue,female,a,chubby,15
96,68,155,black,long,grey,female,c,normal,16
97,59,169,blonde,middle,green,female,d,normal,26
98,30,154,blonde,short,grey,female,c,sporty,43
99,69,163,brown,middle,green,female,b,chubby,19
100,56,182,grey,long,green,female,d,thin,13
101,25,187,black,short,blue,female,b,sporty,41
102,30,178,blonde,middle,grey,female,d,thin,41
103,38,190,brown,long,brown,female,d,chubby,26
104,62,171,red,long,grey,female,b,chubby,18
105,32,146,brown,long,grey,female,d,fat,22
106,62,188,brown,middle,brown,female,c,chubby,14
107,62,146,black,middle,green,female,a,chubby,11
